ID_Venda;Data;ID_Produto;ID_Cliente;Qtd
10001;2023-10-07 00:00:00;P-002;99;3
10002;21/11/2023;P-017;45;1
10003;2023-04-08 00:00:00; P-006 ;19;3
10004;2023-07-17 00:00:00;P-008;77;1
10005;28/08/2023;P-003;68;3
10006;2023-05-24 00:00:00;P-018;83;2
10007;2023-04-07 00:00:00;P-001;50;1
10008;2023-07-20 00:00:00;P-016;25;2
10009;2023-05-04 00:00:00;P-007;38;3
10010;2023-07-06 00:00:00; P-003 ;95;2
10011;2023-11-22 00:00:00;P-004;36;2
10012;2023-12-15 00:00:00;P-009;68;2
10013;16/09/2023;P-005;56;3
10014;28/05/2023;P-019;39;1
10015;09/09/2023;P-015;63;3
10016;12/12/2023; P-008 ;7;3
10017;2023-05-27 00:00:00;P-006;58;3
10018;28/05/2023; P-018 ;80;1
10019;2023-12-18 00:00:00;P-019;59;4
10020;2023-07-18 00:00:00;P-015;48;3
10021;04/11/2023;P-007;5;3
10022;2023-05-08 00:00:00;P-010;87;1
10023;2023-02-08 00:00:00;P-006;36;4
10024;04/12/2023;P-014;96;4
10025;26/12/2023;P-017;88;4
10026;09/05/2023;P-009;25;4
10027;2023-09-24 00:00:00; P-019 ;45;1
10028;2023-05-31 00:00:00;P-005;92;1
10029;25/10/2023;P-007;19;4
10030;2023-04-09 00:00:00; P-019 ;7;2
10031;2023-09-20 00:00:00;P-020;58;1
10032;09/09/2023;P-007;81;2
10033;24/05/2023;P-002;66;2
10034;2023-12-12 00:00:00;P-016;80;4
10035;22/04/2023; P-013 ;39;4
10036;2023-03-01 00:00:00;P-008;18;3
10037;2023-01-02 00:00:00;P-006;1;2
10038;2023-10-31 00:00:00; P-006 ;63;3
10039;2023-09-11 00:00:00;P-009;3;4
10040;20/05/2023;P-004;21;2
10041;06/02/2023; P-011 ;30;1
10042;2023-06-09 00:00:00; P-005 ;11;3
10043;2023-01-09 00:00:00; P-017 ;22;4
10044;2023-08-21 00:00:00;P-020;57;2
10045;2023-04-09 00:00:00;P-007;89;4
10046;2023-05-27 00:00:00;P-015;3;3
10047;2023-10-31 00:00:00;P-015;30;4
10048;2023-07-27 00:00:00;P-014;88;4
10049;2023-05-11 00:00:00;P-013;45;1
10050;2023-06-01 00:00:00;P-011;36;4
10051;2023-02-23 00:00:00;P-013;87;2
10052;30/04/2023;P-009;72;2
10053;10/06/2023;P-010;64;1
10054;2023-04-26 00:00:00;P-004;54;2
10055;2023-03-16 00:00:00;P-017;68;4
10056;2023-04-23 00:00:00;P-014;50;4
10057;14/04/2023; P-018 ;31;2
10058;2023-12-06 00:00:00;P-011;29;3
10059;11/09/2023;P-016;59;4
10060;15/08/2023;P-001;36;2
10061;2023-04-22 00:00:00;P-007;77;4
10062;2023-04-09 00:00:00;P-010;73;4
10063;02/06/2023;P-009;85;1
10064;15/12/2023;P-003;67;2
10065;2023-12-04 00:00:00;P-014;89;4
10066;2023-07-13 00:00:00;P-015;89;3
10067;2023-11-06 00:00:00;P-002;76;2
10068;2023-06-12 00:00:00;P-014;93;3
10069;2023-07-27 00:00:00; P-016 ;11;2
10070;18/06/2023;P-007;11;3
10071;2023-06-10 00:00:00;P-004;26;3
10072;2023-03-09 00:00:00;P-018;53;2
10073;16/10/2023;P-005;14;1
10074;2023-10-04 00:00:00;P-006;64;1
10075;2023-10-31 00:00:00; P-007 ;80;2
10076;2023-05-15 00:00:00;P-015;10;4
10077;2023-07-14 00:00:00; P-001 ;31;2
10078;2023-05-08 00:00:00;P-004;95;2
10079;02/02/2023;P-001;36;4
10080;25/06/2023;P-011;10;2
10081;2023-01-22 00:00:00;P-018;26;2
10082;26/08/2023;P-014;20;4
10083;07/06/2023;P-011;44;4
10084;2023-02-07 00:00:00;P-010;62;1
10085;18/08/2023;P-017;73;3
10086;2023-12-31 00:00:00;P-004;79;3
10087;2023-02-20 00:00:00;P-015;9;1
10088;2023-09-21 00:00:00;P-016;71;1
10089;10/10/2023; P-013 ;90;3
10090;27/01/2023;P-009;24;1
10091;2023-08-14 00:00:00;P-011;12;2
10092;2023-10-04 00:00:00;P-011;60;1
10093;2023-10-13 00:00:00; P-006 ;84;1
10094;2023-04-07 00:00:00;P-001;78;1
10095;11/10/2023;P-006;86;1
10096;2023-11-13 00:00:00; P-013 ;16;3
10097;2023-10-31 00:00:00;P-005;29;4
10098;2023-05-27 00:00:00; P-015 ;32;3
10099;2023-01-04 00:00:00;P-018;83;3
10100;2023-02-04 00:00:00; P-020 ;35;4
10101;11/07/2023; P-014 ;43;3
10102;18/02/2023;P-015;96;2
10103;2023-01-17 00:00:00;P-005;53;4
10104;2023-06-21 00:00:00;P-004;20;2
10105;2023-08-08 00:00:00;P-002;84;3
10106;2023-06-07 00:00:00;P-007;8;3
10107;2023-02-15 00:00:00; P-010 ;99;4
10108;2023-01-06 00:00:00;P-016;42;3
10109;09/04/2023;P-010;77;1
10110;21/08/2023;P-018;70;2
10111;2023-02-06 00:00:00;P-017;16;2
10112;07/10/2023;P-013;69;1
10113;15/12/2023;P-001;53;4
10114;2023-10-29 00:00:00;P-001;45;4
10115;2023-06-30 00:00:00;P-015;51;1
10116;2023-04-05 00:00:00; P-001 ;98;1
10117;2023-04-09 00:00:00;P-006;6;2
10118;2023-07-07 00:00:00;P-013;33;1
10119;2023-04-26 00:00:00;P-001;79;1
